Entities,neg,pos,neu,Count,Category
Economic Policy Institute,1,0,0,1,ORGANIZATION
National Human Trafficking Hotline,1,0,0,1,ORGANIZATION
International Labor Organization,0,1,0,1,ORGANIZATION
State Department spokeswoman,1,0,0,1,ORGANIZATION
Foundation,0,0,1,1,ORGANIZATION
Departments of Labor and Homeland Security,0,0,1,1,ORGANIZATION
Equal Justice Center,0,1,0,1,ORGANIZATION
Texas,0,1,0,1,LOCATION
Philippines,1,3,2,10,LOCATION
Jared FerriePlease,0,1,0,1,PERSON
PDVSA,5,0,0,48,ORGANIZATION
"Punto Fijo, Venezuela",0,1,1,21,LOCATION
HOUSTON,3,0,0,7,LOCATION
Marianna Parraga,1,0,2,6,PERSON
Mircely Guanipa,2,0,0,4,PERSON
Jose,2,0,0,4,PERSON
Brent,8,0,2,16,LOCATION
Chevron Corp,1,1,4,12,ORGANIZATION
Valero Energy Corp,0,0,2,4,ORGANIZATION
Nayara Energy,0,0,3,6,ORGANIZATION
CNPC,0,0,3,6,ORGANIZATION
Robert Campbell,0,1,2,6,PERSON
PUNTO,0,0,3,3,ORGANIZATION
"Caracas, Venezuela",0,1,2,3,LOCATION
Carlos Garcia Rawlins,0,0,2,2,PERSON
OPEC,1,1,6,9,ORGANIZATION
Sonangol Kalandula,0,0,2,2,ORGANIZATION
Thailand,0,0,2,2,LOCATION
"Kemaman, Malaysia",0,2,0,2,LOCATION
India,1,1,5,9,LOCATION
PetroChina Co Ltd,0,0,2,2,ORGANIZATION
SS,0,0,3,3,LOCATION
ConocoPhillips,0,0,3,3,ORGANIZATION
Conoco,3,0,0,3,ORGANIZATION
Aruba,3,0,0,3,LOCATION
Cardon,0,1,2,3,PERSON
Energy Aspects,0,0,3,3,ORGANIZATION
Liz Hampton,0,0,3,3,PERSON
Gary McWilliams,0,0,3,3,PERSON
Chen Aizhu,0,0,3,3,PERSON
Beijing,0,5,6,26,LOCATION
Henning Gloystein,0,3,0,3,PERSON
BNP Paribas,0,0,2,8,ORGANIZATION
EUR,0,0,6,6,LOCATION
Paris,0,0,3,3,LOCATION
Charles,0,0,2,2,PERSON
Tommy Wilkes,0,0,2,2,PERSON
Saikat Chatterjee,0,0,2,2,PERSON
Mike Pompeo,3,0,4,33,PERSON
Eric Beech,0,0,2,2,PERSON
David Alexander,0,0,2,2,PERSON
Omar Sobhani,0,0,2,2,PERSON
U.S. Geological Survey,0,0,1,5,ORGANIZATION
"PAHOA, Hawaii",0,1,0,4,LOCATION
Kilauea Volcano,1,0,0,4,LOCATION
Vacationland,0,0,1,4,PERSON
Kapoho Beach,1,0,0,3,LOCATION
Kapoho,1,0,0,3,LOCATION
David Mace,0,0,1,2,PERSON
Wendy Stovall,0,0,1,1,PERSON
Federal Emergency Management Agency,0,1,1,2,ORGANIZATION
Hawaii County,0,1,0,1,LOCATION
Leilani Estates,1,0,0,1,PERSON
Kapoho Bay,1,0,0,1,LOCATION
Pahoa,1,0,0,1,LOCATION
Terray,1,0,0,1,ORGANIZATION
Betty Oberman,0,0,1,1,PERSON
Hawaii Island,0,0,1,1,LOCATION
Steve Gorman,0,0,1,1,PERSON
Los Angeles,0,0,3,3,LOCATION
Bill Tarrant,0,1,1,2,PERSON
Michael Perry,0,0,1,1,PERSON
House of Fraser,2,0,0,21,ORGANIZATION
James Davey,0,2,0,4,PERSON
Sarah Young,0,2,0,4,PERSON
Nanjing Cenbest,0,0,2,4,ORGANIZATION
Oxford Street,0,0,2,2,LOCATION
Sanpower Group,0,0,2,2,ORGANIZATION
Amazon,0,2,0,2,ORGANIZATION
Debenhams,2,0,0,2,ORGANIZATION
John Lewis,0,2,0,2,PERSON
Stefan Wermuth,0,1,0,1,PERSON
Carpetright,0,0,2,2,ORGANIZATION
Mothercare,0,0,2,2,ORGANIZATION
Harrods,0,2,0,2,ORGANIZATION
Dickins & Jones,0,0,2,2,ORGANIZATION
Regent Street,0,0,2,2,LOCATION
Birmingham,2,0,0,2,LOCATION
Edinburgh,2,0,0,2,LOCATION
Cardiff,2,0,0,2,LOCATION
Keith Weir,0,2,1,3,PERSON
Venezuela,5,0,4,34,LOCATION
Organization of the Petroleum Exporting Countries,0,2,0,20,ORGANIZATION
WTI,0,0,2,4,ORGANIZATION
Jessica Resnick-Ault,0,0,2,2,PERSON
Maracaibo lake,0,0,1,1,LOCATION
Isaac Urrutia,1,0,0,1,PERSON
U.S. West Texas Intermediate,2,0,0,2,LOCATION
CL,2,0,0,2,LOCATION
Algeria,0,0,2,2,LOCATION
Again Capital Management,0,0,2,2,ORGANIZATION
Angola,2,0,0,2,LOCATION
London Capital Group,1,0,1,2,ORGANIZATION
Jasper Lawler,0,0,2,2,PERSON
Vienna,2,1,0,3,LOCATION
Mustapha Guitouni,0,0,2,2,PERSON
Iraq,1,2,4,38,LOCATION
Abhishek Kumar,0,2,0,2,PERSON
Interfax,0,2,1,4,ORGANIZATION
Meng Meng,0,2,0,2,PERSON
Aizhu Chen,0,2,0,2,PERSON
London,2,2,10,33,LOCATION
David Gregorio,0,0,2,2,PERSON
Democratic Party,0,0,1,12,ORGANIZATION
Hans Keirstead,0,1,0,9,PERSON
Harley Rouda,0,1,0,6,PERSON
California's 48th congressional district,0,0,1,3,LOCATION
Washington and Louisiana,1,0,0,3,LOCATION
Dana Rohrabacher,0,1,0,3,PERSON
Democratic Congressional Campaign Committee,0,0,1,3,ORGANIZATION
Scott Lemieux,0,0,1,2,PERSON
Democrats,1,0,0,2,ORGANIZATION
Kierstead,1,0,0,2,PERSON
Patty Murray,1,0,0,1,PERSON
Chris Vance,0,0,1,1,PERSON
Orange County,0,0,1,1,LOCATION
Hillary Clinton,0,1,0,1,PERSON
David Brooks,1,0,0,1,PERSON
Golden State,0,1,0,1,LOCATION
Department of Political Science,0,0,1,1,ORGANIZATION
University of Washington,0,0,1,1,ORGANIZATION
Brasil,0,0,1,6,LOCATION
Petrobras,0,0,1,3,ORGANIZATION
Alexandra Alper,0,1,0,2,PERSON
Marta Nogueira,0,1,0,2,PERSON
Decio Oddone,0,0,1,2,PERSON
Brasilia,0,0,1,1,LOCATION
Ueslei Marcelino RÍO DE JANEIRO,1,0,0,1,PERSON
Río de Janeiro,0,0,1,1,LOCATION
BP Plc,0,0,1,1,ORGANIZATION
Royal Dutch Shell Plc,1,0,1,2,ORGANIZATION
Santos,0,0,1,1,PERSON
Sudamérica,0,1,0,1,LOCATION
Exxon Mobil Corp,0,0,1,1,ORGANIZATION
brasileño,0,0,1,1,LOCATION
ANP,0,0,1,1,ORGANIZATION
"Bakersfield, California",0,0,1,1,LOCATION
Lucy Nicholson,1,0,0,1,PERSON
Tso,0,0,2,2,PERSON
Edward” Sun,2,0,0,2,PERSON
U.S. Department of Justice,0,3,0,4,ORGANIZATION
Delaware County,0,2,0,2,LOCATION
"Upper Darby, Pennsylvania",0,0,2,2,LOCATION
Upper Darby Police Department,0,0,2,2,ORGANIZATION
Sun,0,0,2,2,LOCATION
Marlon Miller,2,0,0,2,PERSON
Philadelphia,0,0,2,2,LOCATION
Dan Whitcomb,0,0,2,2,PERSON
Mocatta,0,1,0,8,PERSON
Scotia,1,0,0,5,ORGANIZATION
