Entities,neg,pos,neu,Count,Category
Melbourne,0,1,0,1,LOCATION
Cuba,0,0,1,1,LOCATION
Pacific,0,0,2,3,LOCATION
Commonwealth,0,0,1,1,ORGANIZATION
Akbar al Baker,0,0,1,9,PERSON
THE International Air Transport Association,0,1,0,7,ORGANIZATION
Ryanair,0,0,1,1,ORGANIZATION
Qatar Airways,0,0,1,1,ORGANIZATION
Singapore Airlines,0,1,0,1,ORGANIZATION
Rwandair,1,0,0,1,ORGANIZATION
Air Namibia,0,0,1,1,ORGANIZATION
Iran Air,0,0,1,1,ORGANIZATION
Flybe,0,0,1,1,ORGANIZATION
Mars,0,1,0,9,LOCATION
Christopher Webster,1,0,0,3,PERSON
NASA,1,0,0,3,ORGANIZATION
Jet Propulsion Laboratory,0,1,0,2,ORGANIZATION
Martian soil,0,1,0,1,ORGANIZATION
Trace Gas Orbiter,0,0,1,1,ORGANIZATION
Caltech,0,0,1,1,ORGANIZATION
Nigeria,1,0,0,8,LOCATION
Gidwell,1,0,0,6,PERSON
Middle Belt,0,1,0,2,LOCATION
Boko Haram,1,0,0,2,PERSON
