Entities,neg,pos,neu,Count
Mars Curiosity Rover,0,1,0,59
Peter Stringfellow,1,1,0,58
Justice Department,4,10,3,58
Standard & Poor's Financial Services LLC,12,0,0,58
Attorney General,13,16,28,57
Islam,10,4,9,57
Fox News,22,9,8,57
Jewish state,0,1,2,57
"Thu June 7, 2018",6,5,46,57
Tony Bourdain,0,3,0,57
India,9,4,6,56
doctor,19,16,20,55
Moscow,10,9,7,55
Ricky Gray,4,0,1,55
Cabinet,4,20,2,54
European Union,14,10,16,54
Mexican,12,6,5,54
Northern Ireland,8,1,1,54
Keith Davidson,1,1,0,54
Jerusalem,6,8,14,54
Libya,8,5,7,54
George W. Bush,1,11,4,54
CNN en Español,1,2,8,54
"Washington, D.C.",6,18,10,53
Mr.,21,16,16,53
Angela Merkel,4,9,5,53
Mike Pompeo,3,9,11,53
Beijing,10,6,13,53
James Comey,1,2,3,53
Omar Mateen,3,0,1,53
Giuliani,4,5,3,52
Qatar,1,2,7,52
Aaron Klein,0,9,3,52
Oval Office,6,11,5,52
Obama administration,13,12,11,52
Jeff Zucker,0,2,4,52
Aaron Stokes,1,0,0,52
Yemen,12,2,5,51
G7,5,15,2,51
Kim Jong-Un,1,2,1,51
Marco Rubio,1,2,2,51
Environmental Protection Agency,2,5,5,51
Italy,7,3,14,50
The New York Times,9,7,11,50
attorney,12,11,27,50
Nikki Haley,1,5,5,50
CNNMoney,6,14,23,50
General Noriega,0,0,1,50
Iraqi,15,1,8,49
Muslims,12,7,5,49
Pakistan,8,6,11,49
prime minister,16,17,16,49
Rodrigo Duterte,1,1,2,49
Islamic Republic,4,1,2,49
Hamad bin Jassim bin Hamad Al Thani,0,0,1,49
chief,7,12,29,48
Tehran,15,2,5,48
Middle East,9,10,10,48
Elaine Chao,0,3,4,48
Judy Clark,0,0,1,48
Gambia,0,1,2,48
Speaker,7,17,23,47
Michael Cohen,2,1,1,47
governor,15,13,19,47
"January 20, 2017",5,1,4,47
January,13,7,12,46
Jeff Sessions,3,4,11,46
Vice President,5,23,18,46
Xi Jinping,8,4,7,46
Florida,7,8,16,46
Bernie Sanders,6,6,3,46
Mitch McConnell,3,5,5,46
Mount Everest,0,1,0,46
NORTH KOREAN,0,0,2,46
December,14,7,19,45
مصر,2,4,1,45
Oklahoma,7,2,3,45
chairman,4,12,28,44
Shinzo Abe,2,12,3,44
two years,18,10,12,44
Planned Parenthood,2,4,4,44
Jeb Bush,1,1,1,44
Egypt,7,6,6,44
Ryan Zinke,0,1,3,44
Syrian government,1,0,4,44
Imran Awan,1,0,1,43
Gulf,4,1,7,43
Alice Marie Johnson,2,4,0,42
Italian,6,6,8,42
Japanese,6,10,7,42
Gavin Newsom,0,1,0,42
MIDDLE EAST,7,2,11,42
Indian,3,3,12,41
ایران,1,0,7,41
Supreme Court,2,7,14,41
God,6,13,6,41
Clinton administration,2,1,5,41
John Bolton,1,1,4,41
al-Qaeda,6,0,4,41
French,8,12,8,40
judge,16,6,18,40
Secretary of State,9,15,16,40
Democratic Party,6,4,5,40
Pentagon,6,7,8,40
Treasury,5,5,8,40
Edward Snowden,3,3,2,40
estadounidenses,1,1,5,40
Mark Zuckerberg,1,8,4,39
South Korean,4,6,11,39
06-Jun-18,11,11,17,39
a year,9,10,13,39
Rex Tillerson,4,2,6,39
Tommy Tommy Tommy Tommy Robinson,0,0,1,39
Noor Salman,1,0,1,39
Len Downie,0,0,3,39
Secretary,7,16,15,38
New York City,5,10,4,38
BuzzFeed,1,2,4,38
John Mina,2,0,0,38
Capitol Hill,13,10,8,37
Senator,8,13,16,37
